biomass_taro_future_ssp126,duration_taro_future_ssp126,duration_tef_historical_ssp370,duration_soybean_future_ssp370,yield_fonio_future_ssp370,yield_fonio_future_ssp126,duration_taro_future_ssp370,duration_tomato_historical_ssp370,duration_tef_future_ssp370,biomass_taro_historical_ssp370,duration_fonio_historical_ssp370,yield_groundnut_historical_ssp370,biomass_sesame_historical_ssp370,duration_soybean_historical_ssp370,yield_tomato_future_ssp370,biomass_sesame_future_ssp370,biomass_sesame_future_ssp126,yield_taro_future_ssp126,duration_cowpea_future_ssp126,biomass_tef_future_ssp370,biomass_groundnut_future_ssp126,biomass_tomato_historical_ssp370,yield_maize_future_ssp370,yield_maize_historical_ssp370,duration_tomato_future_ssp370,biomass_groundnut_historical_ssp370,biomass_maize_future_ssp370,biomass_sorghum_historical_ssp370,yield_tomato_future_ssp126,yield_tomato_historical_ssp370,yield_sesame_historical_ssp370,yield_sorghum_historical_ssp370,biomass_fonio_future_ssp126,biomass_cowpea_future_ssp370,duration_fonio_future_ssp126,duration_cowpea_future_ssp370,yield_tef_future_ssp370,duration_sesame_historical_ssp370,yield_soybean_future_ssp370,duration_tef_future_ssp126,yield_sesame_future_ssp126,yield_tef_future_ssp126,yield_maize_future_ssp126,yield_groundnut_future_ssp126,biomass_tomato_future_ssp370,yield_tef_historical_ssp370,biomass_soybean_future_ssp126,biomass_tef_future_ssp126,biomass_groundnut_future_ssp370,duration_sesame_future_ssp126,yield_soybean_historical_ssp370,duration_cowpea_historical_ssp370,yield_taro_historical_ssp370,duration_groundnut_future_ssp370,yield_sorghum_future_ssp370,duration_taro_historical_ssp370,biomass_soybean_historical_ssp370,duration_groundnut_historical_ssp370,biomass_fonio_future_ssp370,yield_fonio_historical_ssp370,duration_maize_historical_ssp370,yield_cowpea_future_ssp126,biomass_tef_historical_ssp370,duration_sorghum_future_ssp370,duration_sorghum_historical_ssp370,duration_sorghum_future_ssp126,biomass_sorghum_future_ssp370,yield_sorghum_future_ssp126,duration_maize_future_ssp370,biomass_taro_future_ssp370,duration_tomato_future_ssp126,biomass_cowpea_future_ssp126,duration_fonio_future_ssp370,biomass_tomato_future_ssp126,yield_cowpea_future_ssp370,yield_cowpea_historical_ssp370,yield_soybean_future_ssp126,duration_sesame_future_ssp370,yield_taro_future_ssp370,yield_groundnut_future_ssp370,duration_groundnut_future_ssp126,duration_maize_future_ssp126,biomass_maize_future_ssp126,biomass_fonio_historical_ssp370,duration_soybean_future_ssp126,biomass_maize_historical_ssp370,biomass_sorghum_future_ssp126,biomass_soybean_future_ssp370,yield_sesame_future_ssp370,biomass_cowpea_historical_ssp370,id
,,91,,,,,,91,,,,,,,,,,,2746.883,,,153.545,100.407,,,451.634,225.658,,,,76.713,,,,,521.891,,,91,,464.9,111.018,,,357.225,,2446.958,,,,,,,117.027,,,,,,75.685,,1880.183,51.428,53.278,50.928,344.214,84.125,70.054,,,,,,,,,,,,,70.482,326.464,,,295.333,247.464,,,,"11"
,,91,,,,,,91,,,,,,,,,,,3362.583,,,255.009,147.99,,,750.045,325.111,,,,110.546,,,,,638.908,,,91,,582.942,164.402,,,468.025,,3068.017,,,,,,,172.83,,,,,,75.324,,2463.258,53.679,54.889,52.759,508.224,123.875,70.304,,,,,,,,,,,,,70.456,483.545,,,435.408,364.357,,,,"12"
,,91,,,,,,91,,,,,,,,,,,3987.434,,,474.33,314.333,,,1395.089,577.889,,,,196.463,,,,,757.6,,,91,,681.45,335.036,,,546.408,,3586.675,,,,,,,297.223,,,,,,80.843,,2875.908,59.259,60.658,58.259,874.134,214,75.527,,,,,,,,,,,,,75.446,985.384,,,924.5,629.446,,,,"13"
,,91,,,,,,91,,,,,,,,,,,3878.325,,,339.767,326.389,,,999.284,463.491,,,,157.648,,,,,736.858,,,91,,652.775,338.319,,,519.842,,3435.708,,,,,,,249.178,,,,,,97.592,,2735.858,60.027,61.13,59.009,732.848,182.804,91.379,,,,,,,,,,,,,92.957,994.931,,,959.871,537.438,,,,"14"
,,91,,,,,,91,,,,,,,,,,,3230.175,,,344.81,311.908,,,1014.129,344.009,,,,116.954,,,,,613.725,,,91,,527.583,320.302,,,399.492,,2776.858,,,,,,,190.643,,,,,,105.472,,2102.825,63.884,65.296,62.866,560.643,141.143,98.457,,,,,,,,,,,,,99.716,942.008,,,917.417,414.991,,,,"15"
,,91,108.552,,,,,91,,,,,113.834,,,,,,3010.117,,,357.612,337.991,,,1051.802,345.352,,,,117.435,,,,,571.916,,1104.457,91,,475.8,349.129,,,351.792,2656.474,2504.375,,,871.018,,,,198.348,,2488.528,,,,108.935,,1851.616,66.643,68.046,64.572,583.313,136.089,101.423,,,,,,,,929.767,,,,,102.871,1026.81,,108.345,994.074,400.214,3155.655,,,"16"
,,91,112.56,,,,161,91,,,,,119.01,1416.025,,,,,2824.867,,1886.617,501.724,442.732,161,,1475.664,408.111,1244.033,962.15,,138.768,,,,,536.642,,1254.621,91,,438.867,442.466,,2776.617,316.817,3083.543,2310.025,,,1003.361,,,,222.938,,2866.74,,,,112.278,,1667.4,69.241,71.602,67.768,655.768,159.044,104.146,,161,,,2439.225,,,1079.276,,,,,105.457,1301.371,,112.905,1301.926,467.732,3584.569,,,"17"
,,91,110.862,,,,161,91,,,,,116.509,1606.275,,,,,3223.442,,2225.45,518.328,469.824,161,,1524.371,,1406.633,1134.967,,,,,,,612.425,,1213.517,91,,508.433,492.983,,3149.55,384.683,2979.354,2675.942,,,960.5,,,,,,2744.204,,,,110.213,,2024.325,,,,,,102.957,,161,,,2758.158,,,1042.802,,,,,104.215,1450.078,,111.086,1381.888,,3467.258,,,"18"
,,91,103.983,,,,161,91,,,,,108.528,1192.392,,,,,3488.383,,1758.192,343.284,335.472,161,,1009.664,364.528,1080.042,896.684,,124.019,,,,,662.808,,1054.518,91,,578.85,351.345,,2337.983,470.408,2568.896,3046.608,,,853.407,,,,198.196,,2438.408,,,,102.555,,2476.15,63.509,64.658,61.813,583.018,135.723,95.931,,161,,,2117.808,,,899.06,,,,,97.629,1033.371,,104.336,986.843,399.152,3012.94,,,"19"
,,91,101.819,,,,161,91,,,,,106.194,1658.8,,,,,4274.733,,2659.466,490.172,484.528,161,,1441.638,,1575.683,1356.383,,,,,,,812.217,,1224.845,91,,735.8,515.793,,3252.592,631.9,3058.957,3872.558,,,1028.713,,,,,,2939.241,,,,99.907,,3326.117,,,,,,93.095,,161,,,3089.692,,,1070.612,,,,,95.258,1517.155,,102.302,1425.074,,3499.526,,,"20"
