geometry
"POLYGON ((32 -19, 32 -19.5, 31.5 -19.5, 31.5 -19, 32 -19))"
"POLYGON ((32.5 -19, 32.5 -19.5, 32 -19.5, 32 -19, 32.5 -19))"
"POLYGON ((33 -19, 33 -19.5, 32.5 -19.5, 32.5 -19, 33 -19))"
"POLYGON ((33.5 -19, 33.5 -19.5, 33 -19.5, 33 -19, 33.5 -19))"
"POLYGON ((34 -19, 34 -19.5, 33.5 -19.5, 33.5 -19, 34 -19))"
"POLYGON ((34.5 -19, 34.5 -19.5, 34 -19.5, 34 -19, 34.5 -19))"
"POLYGON ((35 -19, 35 -19.5, 34.5 -19.5, 34.5 -19, 35 -19))"
"POLYGON ((35.5 -19, 35.5 -19.5, 35 -19.5, 35 -19, 35.5 -19))"
"POLYGON ((45 -19, 45 -19.5, 44.5 -19.5, 44.5 -19, 45 -19))"
"POLYGON ((45.5 -19, 45.5 -19.5, 45 -19.5, 45 -19, 45.5 -19))"
"POLYGON ((46 -19, 46 -19.5, 45.5 -19.5, 45.5 -19, 46 -19))"
"POLYGON ((46.5 -19, 46.5 -19.5, 46 -19.5, 46 -19, 46.5 -19))"
"POLYGON ((47 -19, 47 -19.5, 46.5 -19.5, 46.5 -19, 47 -19))"
"POLYGON ((47.5 -19, 47.5 -19.5, 47 -19.5, 47 -19, 47.5 -19))"
"POLYGON ((48 -19, 48 -19.5, 47.5 -19.5, 47.5 -19, 48 -19))"
"POLYGON ((48.5 -19, 48.5 -19.5, 48 -19.5, 48 -19, 48.5 -19))"
"POLYGON ((49 -19, 49 -19.5, 48.5 -19.5, 48.5 -19, 49 -19))"
"POLYGON ((13 -18.5, 13 -19, 12.5 -19, 12.5 -18.5, 13 -18.5))"
"POLYGON ((13.5 -18.5, 13.5 -19, 13 -19, 13 -18.5, 13.5 -18.5))"
"POLYGON ((14 -18.5, 14 -19, 13.5 -19, 13.5 -18.5, 14 -18.5))"
"POLYGON ((14.5 -18.5, 14.5 -19, 14 -19, 14 -18.5, 14.5 -18.5))"
"POLYGON ((15 -18.5, 15 -19, 14.5 -19, 14.5 -18.5, 15 -18.5))"
"POLYGON ((15.5 -18.5, 15.5 -19, 15 -19, 15 -18.5, 15.5 -18.5))"
"POLYGON ((16 -18.5, 16 -19, 15.5 -19, 15.5 -18.5, 16 -18.5))"
"POLYGON ((16.5 -18.5, 16.5 -19, 16 -19, 16 -18.5, 16.5 -18.5))"
"POLYGON ((17 -18.5, 17 -19, 16.5 -19, 16.5 -18.5, 17 -18.5))"
"POLYGON ((17.5 -18.5, 17.5 -19, 17 -19, 17 -18.5, 17.5 -18.5))"
"POLYGON ((18 -18.5, 18 -19, 17.5 -19, 17.5 -18.5, 18 -18.5))"
"POLYGON ((18.5 -18.5, 18.5 -19, 18 -19, 18 -18.5, 18.5 -18.5))"
"POLYGON ((19 -18.5, 19 -19, 18.5 -19, 18.5 -18.5, 19 -18.5))"
"POLYGON ((19.5 -18.5, 19.5 -19, 19 -19, 19 -18.5, 19.5 -18.5))"
"POLYGON ((20 -18.5, 20 -19, 19.5 -19, 19.5 -18.5, 20 -18.5))"
"POLYGON ((20.5 -18.5, 20.5 -19, 20 -19, 20 -18.5, 20.5 -18.5))"
"POLYGON ((21 -18.5, 21 -19, 20.5 -19, 20.5 -18.5, 21 -18.5))"
"POLYGON ((21.5 -18.5, 21.5 -19, 21 -19, 21 -18.5, 21.5 -18.5))"
"POLYGON ((22 -18.5, 22 -19, 21.5 -19, 21.5 -18.5, 22 -18.5))"
"POLYGON ((22.5 -18.5, 22.5 -19, 22 -19, 22 -18.5, 22.5 -18.5))"
"POLYGON ((23 -18.5, 23 -19, 22.5 -19, 22.5 -18.5, 23 -18.5))"
"POLYGON ((23.5 -18.5, 23.5 -19, 23 -19, 23 -18.5, 23.5 -18.5))"
"POLYGON ((24 -18.5, 24 -19, 23.5 -19, 23.5 -18.5, 24 -18.5))"
"POLYGON ((24.5 -18.5, 24.5 -19, 24 -19, 24 -18.5, 24.5 -18.5))"
"POLYGON ((25 -18.5, 25 -19, 24.5 -19, 24.5 -18.5, 25 -18.5))"
"POLYGON ((25.5 -18.5, 25.5 -19, 25 -19, 25 -18.5, 25.5 -18.5))"
"POLYGON ((26 -18.5, 26 -19, 25.5 -19, 25.5 -18.5, 26 -18.5))"
"POLYGON ((26.5 -18.5, 26.5 -19, 26 -19, 26 -18.5, 26.5 -18.5))"
"POLYGON ((27 -18.5, 27 -19, 26.5 -19, 26.5 -18.5, 27 -18.5))"
"POLYGON ((27.5 -18.5, 27.5 -19, 27 -19, 27 -18.5, 27.5 -18.5))"
"POLYGON ((28 -18.5, 28 -19, 27.5 -19, 27.5 -18.5, 28 -18.5))"
"POLYGON ((28.5 -18.5, 28.5 -19, 28 -19, 28 -18.5, 28.5 -18.5))"
"POLYGON ((29 -18.5, 29 -19, 28.5 -19, 28.5 -18.5, 29 -18.5))"
"POLYGON ((29.5 -18.5, 29.5 -19, 29 -19, 29 -18.5, 29.5 -18.5))"
"POLYGON ((30 -18.5, 30 -19, 29.5 -19, 29.5 -18.5, 30 -18.5))"
"POLYGON ((30.5 -18.5, 30.5 -19, 30 -19, 30 -18.5, 30.5 -18.5))"
"POLYGON ((31 -18.5, 31 -19, 30.5 -19, 30.5 -18.5, 31 -18.5))"
"POLYGON ((31.5 -18.5, 31.5 -19, 31 -19, 31 -18.5, 31.5 -18.5))"
"POLYGON ((32 -18.5, 32 -19, 31.5 -19, 31.5 -18.5, 32 -18.5))"
"POLYGON ((32.5 -18.5, 32.5 -19, 32 -19, 32 -18.5, 32.5 -18.5))"
"POLYGON ((33 -18.5, 33 -19, 32.5 -19, 32.5 -18.5, 33 -18.5))"
"POLYGON ((33.5 -18.5, 33.5 -19, 33 -19, 33 -18.5, 33.5 -18.5))"
"POLYGON ((34 -18.5, 34 -19, 33.5 -19, 33.5 -18.5, 34 -18.5))"
"POLYGON ((34.5 -18.5, 34.5 -19, 34 -19, 34 -18.5, 34.5 -18.5))"
"POLYGON ((35 -18.5, 35 -19, 34.5 -19, 34.5 -18.5, 35 -18.5))"
"POLYGON ((35.5 -18.5, 35.5 -19, 35 -19, 35 -18.5, 35.5 -18.5))"
"POLYGON ((36 -18.5, 36 -19, 35.5 -19, 35.5 -18.5, 36 -18.5))"
"POLYGON ((36.5 -18.5, 36.5 -19, 36 -19, 36 -18.5, 36.5 -18.5))"
"POLYGON ((44.5 -18.5, 44.5 -19, 44 -19, 44 -18.5, 44.5 -18.5))"
"POLYGON ((45 -18.5, 45 -19, 44.5 -19, 44.5 -18.5, 45 -18.5))"
"POLYGON ((45.5 -18.5, 45.5 -19, 45 -19, 45 -18.5, 45.5 -18.5))"
"POLYGON ((46 -18.5, 46 -19, 45.5 -19, 45.5 -18.5, 46 -18.5))"
"POLYGON ((46.5 -18.5, 46.5 -19, 46 -19, 46 -18.5, 46.5 -18.5))"
"POLYGON ((47 -18.5, 47 -19, 46.5 -19, 46.5 -18.5, 47 -18.5))"
"POLYGON ((47.5 -18.5, 47.5 -19, 47 -19, 47 -18.5, 47.5 -18.5))"
"POLYGON ((48 -18.5, 48 -19, 47.5 -19, 47.5 -18.5, 48 -18.5))"
"POLYGON ((48.5 -18.5, 48.5 -19, 48 -19, 48 -18.5, 48.5 -18.5))"
"POLYGON ((49 -18.5, 49 -19, 48.5 -19, 48.5 -18.5, 49 -18.5))"
"POLYGON ((12.5 -18, 12.5 -18.5, 12 -18.5, 12 -18, 12.5 -18))"
"POLYGON ((13 -18, 13 -18.5, 12.5 -18.5, 12.5 -18, 13 -18))"
"POLYGON ((13.5 -18, 13.5 -18.5, 13 -18.5, 13 -18, 13.5 -18))"
"POLYGON ((14 -18, 14 -18.5, 13.5 -18.5, 13.5 -18, 14 -18))"
"POLYGON ((14.5 -18, 14.5 -18.5, 14 -18.5, 14 -18, 14.5 -18))"
"POLYGON ((15 -18, 15 -18.5, 14.5 -18.5, 14.5 -18, 15 -18))"
"POLYGON ((15.5 -18, 15.5 -18.5, 15 -18.5, 15 -18, 15.5 -18))"
"POLYGON ((16 -18, 16 -18.5, 15.5 -18.5, 15.5 -18, 16 -18))"
"POLYGON ((16.5 -18, 16.5 -18.5, 16 -18.5, 16 -18, 16.5 -18))"
"POLYGON ((17 -18, 17 -18.5, 16.5 -18.5, 16.5 -18, 17 -18))"
"POLYGON ((17.5 -18, 17.5 -18.5, 17 -18.5, 17 -18, 17.5 -18))"
"POLYGON ((18 -18, 18 -18.5, 17.5 -18.5, 17.5 -18, 18 -18))"
"POLYGON ((18.5 -18, 18.5 -18.5, 18 -18.5, 18 -18, 18.5 -18))"
"POLYGON ((19 -18, 19 -18.5, 18.5 -18.5, 18.5 -18, 19 -18))"
"POLYGON ((19.5 -18, 19.5 -18.5, 19 -18.5, 19 -18, 19.5 -18))"
"POLYGON ((20 -18, 20 -18.5, 19.5 -18.5, 19.5 -18, 20 -18))"
"POLYGON ((20.5 -18, 20.5 -18.5, 20 -18.5, 20 -18, 20.5 -18))"
"POLYGON ((21 -18, 21 -18.5, 20.5 -18.5, 20.5 -18, 21 -18))"
"POLYGON ((21.5 -18, 21.5 -18.5, 21 -18.5, 21 -18, 21.5 -18))"
"POLYGON ((22 -18, 22 -18.5, 21.5 -18.5, 21.5 -18, 22 -18))"
"POLYGON ((22.5 -18, 22.5 -18.5, 22 -18.5, 22 -18, 22.5 -18))"
"POLYGON ((23 -18, 23 -18.5, 22.5 -18.5, 22.5 -18, 23 -18))"
"POLYGON ((23.5 -18, 23.5 -18.5, 23 -18.5, 23 -18, 23.5 -18))"
"POLYGON ((24 -18, 24 -18.5, 23.5 -18.5, 23.5 -18, 24 -18))"
"POLYGON ((24.5 -18, 24.5 -18.5, 24 -18.5, 24 -18, 24.5 -18))"
"POLYGON ((25 -18, 25 -18.5, 24.5 -18.5, 24.5 -18, 25 -18))"
"POLYGON ((25.5 -18, 25.5 -18.5, 25 -18.5, 25 -18, 25.5 -18))"
"POLYGON ((26 -18, 26 -18.5, 25.5 -18.5, 25.5 -18, 26 -18))"
"POLYGON ((26.5 -18, 26.5 -18.5, 26 -18.5, 26 -18, 26.5 -18))"
"POLYGON ((27 -18, 27 -18.5, 26.5 -18.5, 26.5 -18, 27 -18))"
"POLYGON ((27.5 -18, 27.5 -18.5, 27 -18.5, 27 -18, 27.5 -18))"
"POLYGON ((28 -18, 28 -18.5, 27.5 -18.5, 27.5 -18, 28 -18))"
"POLYGON ((28.5 -18, 28.5 -18.5, 28 -18.5, 28 -18, 28.5 -18))"
"POLYGON ((29 -18, 29 -18.5, 28.5 -18.5, 28.5 -18, 29 -18))"
"POLYGON ((29.5 -18, 29.5 -18.5, 29 -18.5, 29 -18, 29.5 -18))"
"POLYGON ((30 -18, 30 -18.5, 29.5 -18.5, 29.5 -18, 30 -18))"
"POLYGON ((30.5 -18, 30.5 -18.5, 30 -18.5, 30 -18, 30.5 -18))"
"POLYGON ((31 -18, 31 -18.5, 30.5 -18.5, 30.5 -18, 31 -18))"
"POLYGON ((31.5 -18, 31.5 -18.5, 31 -18.5, 31 -18, 31.5 -18))"
"POLYGON ((32 -18, 32 -18.5, 31.5 -18.5, 31.5 -18, 32 -18))"
"POLYGON ((32.5 -18, 32.5 -18.5, 32 -18.5, 32 -18, 32.5 -18))"
"POLYGON ((33 -18, 33 -18.5, 32.5 -18.5, 32.5 -18, 33 -18))"
"POLYGON ((33.5 -18, 33.5 -18.5, 33 -18.5, 33 -18, 33.5 -18))"
"POLYGON ((34 -18, 34 -18.5, 33.5 -18.5, 33.5 -18, 34 -18))"
"POLYGON ((34.5 -18, 34.5 -18.5, 34 -18.5, 34 -18, 34.5 -18))"
"POLYGON ((35 -18, 35 -18.5, 34.5 -18.5, 34.5 -18, 35 -18))"
"POLYGON ((35.5 -18, 35.5 -18.5, 35 -18.5, 35 -18, 35.5 -18))"
"POLYGON ((36 -18, 36 -18.5, 35.5 -18.5, 35.5 -18, 36 -18))"
"POLYGON ((36.5 -18, 36.5 -18.5, 36 -18.5, 36 -18, 36.5 -18))"
"POLYGON ((37 -18, 37 -18.5, 36.5 -18.5, 36.5 -18, 37 -18))"
"POLYGON ((44.5 -18, 44.5 -18.5, 44 -18.5, 44 -18, 44.5 -18))"
"POLYGON ((45 -18, 45 -18.5, 44.5 -18.5, 44.5 -18, 45 -18))"
"POLYGON ((45.5 -18, 45.5 -18.5, 45 -18.5, 45 -18, 45.5 -18))"
"POLYGON ((46 -18, 46 -18.5, 45.5 -18.5, 45.5 -18, 46 -18))"
"POLYGON ((46.5 -18, 46.5 -18.5, 46 -18.5, 46 -18, 46.5 -18))"
"POLYGON ((47 -18, 47 -18.5, 46.5 -18.5, 46.5 -18, 47 -18))"
"POLYGON ((47.5 -18, 47.5 -18.5, 47 -18.5, 47 -18, 47.5 -18))"
"POLYGON ((48 -18, 48 -18.5, 47.5 -18.5, 47.5 -18, 48 -18))"
"POLYGON ((48.5 -18, 48.5 -18.5, 48 -18.5, 48 -18, 48.5 -18))"
"POLYGON ((49 -18, 49 -18.5, 48.5 -18.5, 48.5 -18, 49 -18))"
"POLYGON ((49.5 -18, 49.5 -18.5, 49 -18.5, 49 -18, 49.5 -18))"
"POLYGON ((12.5 -17.5, 12.5 -18, 12 -18, 12 -17.5, 12.5 -17.5))"
"POLYGON ((13 -17.5, 13 -18, 12.5 -18, 12.5 -17.5, 13 -17.5))"
"POLYGON ((13.5 -17.5, 13.5 -18, 13 -18, 13 -17.5, 13.5 -17.5))"
"POLYGON ((14 -17.5, 14 -18, 13.5 -18, 13.5 -17.5, 14 -17.5))"
"POLYGON ((14.5 -17.5, 14.5 -18, 14 -18, 14 -17.5, 14.5 -17.5))"
"POLYGON ((15 -17.5, 15 -18, 14.5 -18, 14.5 -17.5, 15 -17.5))"
"POLYGON ((15.5 -17.5, 15.5 -18, 15 -18, 15 -17.5, 15.5 -17.5))"
"POLYGON ((16 -17.5, 16 -18, 15.5 -18, 15.5 -17.5, 16 -17.5))"
"POLYGON ((16.5 -17.5, 16.5 -18, 16 -18, 16 -17.5, 16.5 -17.5))"
"POLYGON ((17 -17.5, 17 -18, 16.5 -18, 16.5 -17.5, 17 -17.5))"
"POLYGON ((17.5 -17.5, 17.5 -18, 17 -18, 17 -17.5, 17.5 -17.5))"
"POLYGON ((18 -17.5, 18 -18, 17.5 -18, 17.5 -17.5, 18 -17.5))"
"POLYGON ((18.5 -17.5, 18.5 -18, 18 -18, 18 -17.5, 18.5 -17.5))"
"POLYGON ((19 -17.5, 19 -18, 18.5 -18, 18.5 -17.5, 19 -17.5))"
"POLYGON ((19.5 -17.5, 19.5 -18, 19 -18, 19 -17.5, 19.5 -17.5))"
"POLYGON ((20 -17.5, 20 -18, 19.5 -18, 19.5 -17.5, 20 -17.5))"
"POLYGON ((20.5 -17.5, 20.5 -18, 20 -18, 20 -17.5, 20.5 -17.5))"
"POLYGON ((21 -17.5, 21 -18, 20.5 -18, 20.5 -17.5, 21 -17.5))"
"POLYGON ((21.5 -17.5, 21.5 -18, 21 -18, 21 -17.5, 21.5 -17.5))"
"POLYGON ((22 -17.5, 22 -18, 21.5 -18, 21.5 -17.5, 22 -17.5))"
"POLYGON ((22.5 -17.5, 22.5 -18, 22 -18, 22 -17.5, 22.5 -17.5))"
"POLYGON ((23 -17.5, 23 -18, 22.5 -18, 22.5 -17.5, 23 -17.5))"
"POLYGON ((23.5 -17.5, 23.5 -18, 23 -18, 23 -17.5, 23.5 -17.5))"
"POLYGON ((24 -17.5, 24 -18, 23.5 -18, 23.5 -17.5, 24 -17.5))"
"POLYGON ((24.5 -17.5, 24.5 -18, 24 -18, 24 -17.5, 24.5 -17.5))"
"POLYGON ((25 -17.5, 25 -18, 24.5 -18, 24.5 -17.5, 25 -17.5))"
"POLYGON ((25.5 -17.5, 25.5 -18, 25 -18, 25 -17.5, 25.5 -17.5))"
"POLYGON ((26 -17.5, 26 -18, 25.5 -18, 25.5 -17.5, 26 -17.5))"
"POLYGON ((26.5 -17.5, 26.5 -18, 26 -18, 26 -17.5, 26.5 -17.5))"
"POLYGON ((27 -17.5, 27 -18, 26.5 -18, 26.5 -17.5, 27 -17.5))"
"POLYGON ((27.5 -17.5, 27.5 -18, 27 -18, 27 -17.5, 27.5 -17.5))"
"POLYGON ((28 -17.5, 28 -18, 27.5 -18, 27.5 -17.5, 28 -17.5))"
"POLYGON ((28.5 -17.5, 28.5 -18, 28 -18, 28 -17.5, 28.5 -17.5))"
"POLYGON ((29 -17.5, 29 -18, 28.5 -18, 28.5 -17.5, 29 -17.5))"
"POLYGON ((29.5 -17.5, 29.5 -18, 29 -18, 29 -17.5, 29.5 -17.5))"
"POLYGON ((30 -17.5, 30 -18, 29.5 -18, 29.5 -17.5, 30 -17.5))"
"POLYGON ((30.5 -17.5, 30.5 -18, 30 -18, 30 -17.5, 30.5 -17.5))"
"POLYGON ((31 -17.5, 31 -18, 30.5 -18, 30.5 -17.5, 31 -17.5))"
"POLYGON ((31.5 -17.5, 31.5 -18, 31 -18, 31 -17.5, 31.5 -17.5))"
"POLYGON ((32 -17.5, 32 -18, 31.5 -18, 31.5 -17.5, 32 -17.5))"
"POLYGON ((32.5 -17.5, 32.5 -18, 32 -18, 32 -17.5, 32.5 -17.5))"
"POLYGON ((33 -17.5, 33 -18, 32.5 -18, 32.5 -17.5, 33 -17.5))"
"POLYGON ((33.5 -17.5, 33.5 -18, 33 -18, 33 -17.5, 33.5 -17.5))"
"POLYGON ((34 -17.5, 34 -18, 33.5 -18, 33.5 -17.5, 34 -17.5))"
"POLYGON ((34.5 -17.5, 34.5 -18, 34 -18, 34 -17.5, 34.5 -17.5))"
"POLYGON ((35 -17.5, 35 -18, 34.5 -18, 34.5 -17.5, 35 -17.5))"
"POLYGON ((35.5 -17.5, 35.5 -18, 35 -18, 35 -17.5, 35.5 -17.5))"
"POLYGON ((36 -17.5, 36 -18, 35.5 -18, 35.5 -17.5, 36 -17.5))"
"POLYGON ((36.5 -17.5, 36.5 -18, 36 -18, 36 -17.5, 36.5 -17.5))"
"POLYGON ((37 -17.5, 37 -18, 36.5 -18, 36.5 -17.5, 37 -17.5))"
"POLYGON ((37.5 -17.5, 37.5 -18, 37 -18, 37 -17.5, 37.5 -17.5))"
"POLYGON ((44.5 -17.5, 44.5 -18, 44 -18, 44 -17.5, 44.5 -17.5))"
"POLYGON ((45 -17.5, 45 -18, 44.5 -18, 44.5 -17.5, 45 -17.5))"
"POLYGON ((45.5 -17.5, 45.5 -18, 45 -18, 45 -17.5, 45.5 -17.5))"
"POLYGON ((46 -17.5, 46 -18, 45.5 -18, 45.5 -17.5, 46 -17.5))"
"POLYGON ((46.5 -17.5, 46.5 -18, 46 -18, 46 -17.5, 46.5 -17.5))"
"POLYGON ((47 -17.5, 47 -18, 46.5 -18, 46.5 -17.5, 47 -17.5))"
"POLYGON ((47.5 -17.5, 47.5 -18, 47 -18, 47 -17.5, 47.5 -17.5))"
"POLYGON ((48 -17.5, 48 -18, 47.5 -18, 47.5 -17.5, 48 -17.5))"
"POLYGON ((48.5 -17.5, 48.5 -18, 48 -18, 48 -17.5, 48.5 -17.5))"
"POLYGON ((49 -17.5, 49 -18, 48.5 -18, 48.5 -17.5, 49 -17.5))"
"POLYGON ((49.5 -17.5, 49.5 -18, 49 -18, 49 -17.5, 49.5 -17.5))"
"POLYGON ((12.5 -17, 12.5 -17.5, 12 -17.5, 12 -17, 12.5 -17))"
"POLYGON ((13 -17, 13 -17.5, 12.5 -17.5, 12.5 -17, 13 -17))"
"POLYGON ((13.5 -17, 13.5 -17.5, 13 -17.5, 13 -17, 13.5 -17))"
"POLYGON ((14 -17, 14 -17.5, 13.5 -17.5, 13.5 -17, 14 -17))"
"POLYGON ((14.5 -17, 14.5 -17.5, 14 -17.5, 14 -17, 14.5 -17))"
"POLYGON ((15 -17, 15 -17.5, 14.5 -17.5, 14.5 -17, 15 -17))"
"POLYGON ((15.5 -17, 15.5 -17.5, 15 -17.5, 15 -17, 15.5 -17))"
"POLYGON ((16 -17, 16 -17.5, 15.5 -17.5, 15.5 -17, 16 -17))"
"POLYGON ((16.5 -17, 16.5 -17.5, 16 -17.5, 16 -17, 16.5 -17))"
"POLYGON ((17 -17, 17 -17.5, 16.5 -17.5, 16.5 -17, 17 -17))"
"POLYGON ((17.5 -17, 17.5 -17.5, 17 -17.5, 17 -17, 17.5 -17))"
"POLYGON ((18 -17, 18 -17.5, 17.5 -17.5, 17.5 -17, 18 -17))"
"POLYGON ((18.5 -17, 18.5 -17.5, 18 -17.5, 18 -17, 18.5 -17))"
"POLYGON ((19 -17, 19 -17.5, 18.5 -17.5, 18.5 -17, 19 -17))"
"POLYGON ((19.5 -17, 19.5 -17.5, 19 -17.5, 19 -17, 19.5 -17))"
"POLYGON ((20 -17, 20 -17.5, 19.5 -17.5, 19.5 -17, 20 -17))"
"POLYGON ((20.5 -17, 20.5 -17.5, 20 -17.5, 20 -17, 20.5 -17))"
"POLYGON ((21 -17, 21 -17.5, 20.5 -17.5, 20.5 -17, 21 -17))"
"POLYGON ((21.5 -17, 21.5 -17.5, 21 -17.5, 21 -17, 21.5 -17))"
"POLYGON ((22 -17, 22 -17.5, 21.5 -17.5, 21.5 -17, 22 -17))"
"POLYGON ((22.5 -17, 22.5 -17.5, 22 -17.5, 22 -17, 22.5 -17))"
"POLYGON ((23 -17, 23 -17.5, 22.5 -17.5, 22.5 -17, 23 -17))"
"POLYGON ((23.5 -17, 23.5 -17.5, 23 -17.5, 23 -17, 23.5 -17))"
"POLYGON ((24 -17, 24 -17.5, 23.5 -17.5, 23.5 -17, 24 -17))"
"POLYGON ((24.5 -17, 24.5 -17.5, 24 -17.5, 24 -17, 24.5 -17))"
"POLYGON ((25 -17, 25 -17.5, 24.5 -17.5, 24.5 -17, 25 -17))"
"POLYGON ((25.5 -17, 25.5 -17.5, 25 -17.5, 25 -17, 25.5 -17))"
"POLYGON ((26 -17, 26 -17.5, 25.5 -17.5, 25.5 -17, 26 -17))"
"POLYGON ((26.5 -17, 26.5 -17.5, 26 -17.5, 26 -17, 26.5 -17))"
"POLYGON ((27 -17, 27 -17.5, 26.5 -17.5, 26.5 -17, 27 -17))"
"POLYGON ((27.5 -17, 27.5 -17.5, 27 -17.5, 27 -17, 27.5 -17))"
"POLYGON ((28 -17, 28 -17.5, 27.5 -17.5, 27.5 -17, 28 -17))"
"POLYGON ((28.5 -17, 28.5 -17.5, 28 -17.5, 28 -17, 28.5 -17))"
"POLYGON ((29 -17, 29 -17.5, 28.5 -17.5, 28.5 -17, 29 -17))"
"POLYGON ((29.5 -17, 29.5 -17.5, 29 -17.5, 29 -17, 29.5 -17))"
"POLYGON ((30 -17, 30 -17.5, 29.5 -17.5, 29.5 -17, 30 -17))"
"POLYGON ((30.5 -17, 30.5 -17.5, 30 -17.5, 30 -17, 30.5 -17))"
"POLYGON ((31 -17, 31 -17.5, 30.5 -17.5, 30.5 -17, 31 -17))"
"POLYGON ((31.5 -17, 31.5 -17.5, 31 -17.5, 31 -17, 31.5 -17))"
"POLYGON ((32 -17, 32 -17.5, 31.5 -17.5, 31.5 -17, 32 -17))"
"POLYGON ((32.5 -17, 32.5 -17.5, 32 -17.5, 32 -17, 32.5 -17))"
"POLYGON ((33 -17, 33 -17.5, 32.5 -17.5, 32.5 -17, 33 -17))"
"POLYGON ((33.5 -17, 33.5 -17.5, 33 -17.5, 33 -17, 33.5 -17))"
"POLYGON ((34 -17, 34 -17.5, 33.5 -17.5, 33.5 -17, 34 -17))"
"POLYGON ((34.5 -17, 34.5 -17.5, 34 -17.5, 34 -17, 34.5 -17))"
"POLYGON ((35 -17, 35 -17.5, 34.5 -17.5, 34.5 -17, 35 -17))"
"POLYGON ((35.5 -17, 35.5 -17.5, 35 -17.5, 35 -17, 35.5 -17))"
"POLYGON ((36 -17, 36 -17.5, 35.5 -17.5, 35.5 -17, 36 -17))"
"POLYGON ((36.5 -17, 36.5 -17.5, 36 -17.5, 36 -17, 36.5 -17))"
"POLYGON ((37 -17, 37 -17.5, 36.5 -17.5, 36.5 -17, 37 -17))"
"POLYGON ((37.5 -17, 37.5 -17.5, 37 -17.5, 37 -17, 37.5 -17))"
"POLYGON ((38 -17, 38 -17.5, 37.5 -17.5, 37.5 -17, 38 -17))"
"POLYGON ((38.5 -17, 38.5 -17.5, 38 -17.5, 38 -17, 38.5 -17))"
"POLYGON ((44.5 -17, 44.5 -17.5, 44 -17.5, 44 -17, 44.5 -17))"
"POLYGON ((45 -17, 45 -17.5, 44.5 -17.5, 44.5 -17, 45 -17))"
"POLYGON ((45.5 -17, 45.5 -17.5, 45 -17.5, 45 -17, 45.5 -17))"
"POLYGON ((46 -17, 46 -17.5, 45.5 -17.5, 45.5 -17, 46 -17))"
"POLYGON ((46.5 -17, 46.5 -17.5, 46 -17.5, 46 -17, 46.5 -17))"
"POLYGON ((47 -17, 47 -17.5, 46.5 -17.5, 46.5 -17, 47 -17))"
"POLYGON ((47.5 -17, 47.5 -17.5, 47 -17.5, 47 -17, 47.5 -17))"
"POLYGON ((48 -17, 48 -17.5, 47.5 -17.5, 47.5 -17, 48 -17))"
"POLYGON ((48.5 -17, 48.5 -17.5, 48 -17.5, 48 -17, 48.5 -17))"
"POLYGON ((49 -17, 49 -17.5, 48.5 -17.5, 48.5 -17, 49 -17))"
"POLYGON ((49.5 -17, 49.5 -17.5, 49 -17.5, 49 -17, 49.5 -17))"
"POLYGON ((12 -16.5, 12 -17, 11.5 -17, 11.5 -16.5, 12 -16.5))"
"POLYGON ((12.5 -16.5, 12.5 -17, 12 -17, 12 -16.5, 12.5 -16.5))"
"POLYGON ((13 -16.5, 13 -17, 12.5 -17, 12.5 -16.5, 13 -16.5))"
"POLYGON ((13.5 -16.5, 13.5 -17, 13 -17, 13 -16.5, 13.5 -16.5))"
"POLYGON ((14 -16.5, 14 -17, 13.5 -17, 13.5 -16.5, 14 -16.5))"
"POLYGON ((14.5 -16.5, 14.5 -17, 14 -17, 14 -16.5, 14.5 -16.5))"
"POLYGON ((15 -16.5, 15 -17, 14.5 -17, 14.5 -16.5, 15 -16.5))"
"POLYGON ((15.5 -16.5, 15.5 -17, 15 -17, 15 -16.5, 15.5 -16.5))"
"POLYGON ((16 -16.5, 16 -17, 15.5 -17, 15.5 -16.5, 16 -16.5))"
"POLYGON ((16.5 -16.5, 16.5 -17, 16 -17, 16 -16.5, 16.5 -16.5))"
"POLYGON ((17 -16.5, 17 -17, 16.5 -17, 16.5 -16.5, 17 -16.5))"
"POLYGON ((17.5 -16.5, 17.5 -17, 17 -17, 17 -16.5, 17.5 -16.5))"
"POLYGON ((18 -16.5, 18 -17, 17.5 -17, 17.5 -16.5, 18 -16.5))"
"POLYGON ((18.5 -16.5, 18.5 -17, 18 -17, 18 -16.5, 18.5 -16.5))"
"POLYGON ((19 -16.5, 19 -17, 18.5 -17, 18.5 -16.5, 19 -16.5))"
"POLYGON ((19.5 -16.5, 19.5 -17, 19 -17, 19 -16.5, 19.5 -16.5))"
"POLYGON ((20 -16.5, 20 -17, 19.5 -17, 19.5 -16.5, 20 -16.5))"
"POLYGON ((20.5 -16.5, 20.5 -17, 20 -17, 20 -16.5, 20.5 -16.5))"
"POLYGON ((21 -16.5, 21 -17, 20.5 -17, 20.5 -16.5, 21 -16.5))"
"POLYGON ((21.5 -16.5, 21.5 -17, 21 -17, 21 -16.5, 21.5 -16.5))"
"POLYGON ((22 -16.5, 22 -17, 21.5 -17, 21.5 -16.5, 22 -16.5))"
"POLYGON ((22.5 -16.5, 22.5 -17, 22 -17, 22 -16.5, 22.5 -16.5))"
"POLYGON ((23 -16.5, 23 -17, 22.5 -17, 22.5 -16.5, 23 -16.5))"
